Question	Option A	Option B	Option C	Option D	GT
What is the primary purpose of using a Downgrade Attack in an Adversary-in-the-Middle (AiTM) scenario?	To compromise the victim's device through a zero-day exploit	To negotiate a weaker version of a communication protocol or encryption algorithm	To intercept and steal user credentials	To disrupt network communications	B
Which of the followings is an example of a potentially malicious activity that an adversary may perform by leveraging an Adversary-in-the-Middle (AiTM) position?	Steal Web Session Cookie	Impair Defenses	Both A and B	Neither A nor B	C
What is the name of the MITRE ATT&CK technique involved in an adversary intercepting and stealing user credentials, including access tokens and session cookies, through an Adversary-in-the-Middle (AiTM) position?	exploitation for credential access	steal application access token	steal web session cookie	impersonate_process	B
What is the primary benefit of exploiting vulnerabilities that allow code execution on a remote system?	Access to internal networks	Ability to exfiltrate sensitive data	Execution of arbitrary code on the remote system	Denial of Service (DoS) attacks	C
"Which technique ID, named ""Device Phishing"", is described in the text as a method adversaries may use to compromise mobile devices?"	T1218	T1027	T1534	T1459	A
According to the text, what is a unique characteristic of device-based zero-click exploits for code execution?	The need for user interaction to exploit the vulnerability	The ability to exploit a vulnerability in the airDrop protocol	The requirement for malicious software to be installed on the device	The lack of user interaction required for code execution	D
What is the technical term for the network protocol used by AirDrop to transfer files between iOS devices?	Bluetooth	Apple Wireless Direct Link (AWDL)	Wi-Fi Direct	iOS File Sharing	B
What is a potential attack vector described in the text for exploiting a buffer overflow in the Apple Wireless Direct Link (AWDL) interface?	Drive-By Compromise	Phishing	Forced activation of the AWDL interface	User interaction with a text message	C
What is the primary goal of adversaries when using Transmitted Data Manipulation on Android devices?	To steal sensitive information from the device	To replace text prior to being pasted	To monitor clipboard activity through the ClipboardManager.OnPrimaryClipChangedListener interface	To read clipboard contents without alerting the user	B
Which Android platform version changed the behavior of clipboard-related features?	Android 8	Android 10	Android 4	Android 9	B
